TICKER,DATE,PRICE_TARGET,EVAL_LO,EVAL_HI,BUY_LO,BUY_HI,SOURCE,PX_LAST,BEST_TARGET_PRICE,EQY_DVD_YLD_IND,EQY_BETA,GICS_SECTOR_NAME,PAM_UPSIDE,CONSENSUS_UPSIDE,PAM_UPSIDE_RANK,CONSENSUS_UPSIDE_RANK,DVD_YLD_RANK,BETA_RANK,GROWTH_SCORE,CONSERVATIVE_SCORE,GROWTH_RANK,CONSERVATIVE_RANK
schw,2020-04-14,34,31,38,NA,NA,FALSE,35.64,39.83333206176758,2.0219040399051655,0.9195641875267029,Financials,0.9539842873176206,1.117658026424455,9,8,8,8,8.4,8.200000000000001,9,9
ibm,2020-04-14,164,110,130,115,125,FALSE,121.35,128.58824157714844,5.336407822674369,1.0396193265914917,Information Technology,1.3514627111660487,1.0596476438166333,3,11,1,3,6,3.8000000000000003,4,1.5
crm,2020-04-14,146,140,160,NA,NA,FALSE,151.72,196.45945739746094,NA,1.011991262435913,Information Technology,0.9622989717901398,1.294881738712503,11,2,11,6,6.9,8.2,6,11
v,2020-04-14,184,154,176,155,175,FALSE,166.38,197.6666717529297,0.7216309144769474,1.02932870388031,Information Technology,1.1059021517009255,1.188043465277856,8,5,9,4,6.500000000000001,7,5,6.5
hrtx,2020-04-14,29,12,17,13,16,FALSE,14.38,39.55555725097656,NA,1.0405128002166748,Health Care,2.0166898470097356,2.750734162098509,1,1,8,2,1.8,4,1,2
pfe,2020-04-14,41,30,38,31,37,FALSE,36.69,41.266666412353516,4.140561103041443,0.8066375255584717,Health Care,1.1174707004633415,1.124738795648774,7,6,1,5,5.800000000000001,4,6,2
mrk,2020-04-14,101,71,91,72,90,FALSE,80.88,95.63157653808594,3.016815105366542,0.6864617466926575,Health Care,1.248763600395648,1.1823884339525956,3,3,4,8,3.6000000000000005,4.4,3,4
deo,2020-04-14,127,117,143,NA,NA,FALSE,131.98,151.65403747558594,2.065464378659426,0.889784038066864,Consumer Staples,0.9622670101530536,1.1490683245611908,6,2,4,3,3.9000000000000004,3.8000000000000003,4,4
well,2020-04-14,57,50,60,NA,NA,FALSE,43.11,57.4375,8.072373043547868,1.3543829917907715,Real Estate,1.3221990257480862,1.3323474831825564,2,1,1,1,1.4000000000000004,1.2,1,1
cvx,2020-04-14,92,78,90,NA,NA,FALSE,86.8,91.25,5.944700285036992,1.1919035911560059,Energy,1.0599078341013826,1.0512672811059909,4,4,4,2,3.8000000000000003,3.6,4,4
xom,2020-04-14,44,38,48,NA,NA,FALSE,43.45,45.404762268066406,8.0073631363863,1.0568257570266724,Energy,1.0126582278481011,1.0449887748691922,5,5,2,5,4.7,3.8,5,5
carr,2020-04-14,23,12,17,13,16,FALSE,15.72,19.0625,NA,NA,Industrials,1.4631043256997456,1.2126272264631042,3,4,8,8,4.4,6.200000000000001,4,8
emr,2020-04-14,56,45,55,NA,NA,FALSE,52.91,58.52381134033203,3.780718336483932,1.0405470132827759,Industrials,1.0584010584010584,1.1061011404334158,8,7,2,6,6.800000000000001,5,7,4
rtx,2020-04-14,96,59,71,60,70,FALSE,63.29,80.15393829345703,4.645283705515024,1.315928339958191,Industrials,1.516827302891452,1.2664550212270032,2,3,1,1,2.2,1.5999999999999999,2,1
so,2020-04-14,57,55,65,NA,NA,FALSE,56.8,61.875,4.507042152780882,1.0351251363754272,Utilities,1.0035211267605635,1.0893485915492958,2,2,1,1,1.8000000000000003,1.4000000000000001,2,1
pacw,2020-04-07,34,13,20,14,19,FALSE,16.73,22.350000381469727,14.345487718872874,1.466488242149353,Financials,2.0322773460848773,1.335923513536744,2,2,1,1,1.8000000000000003,1.4000000000000001,1,1
nxpi,2020-04-07,120,75,95,NA,NA,FALSE,88.08,113.2727279663086,1.7029972752043598,1.2612786293029785,Information Technology,1.3623978201634879,1.2860209805439213,2,3,6,2,2.8000000000000003,3.8000000000000003,2,1.5
cat,2020-04-07,121,104,125,NA,NA,FALSE,112.91,128.42857360839844,3.6489238203516803,0.9901420474052429,Industrials,1.0716499867150828,1.1374419768700597,7,6,4,7,6.300000000000002,5.600000000000001,6,5
baba,2020-04-07,257,175,215,176,214,FALSE,205.24,258.03887939453125,NA,0.8308878540992737,Consumer Discretionary,1.2521925550574937,1.2572543334366169,1,1,4,3,1.5000000000000002,2.6,1,2.5
cl,2020-04-07,71,64,78,NA,NA,FALSE,71.23,73.7750015258789,2.470869002475441,0.7697458863258362,Consumer Staples,0.9967710234451775,1.0357293489523922,5,7,3,4,5.500000000000001,4.4,6,5
stz,2020-04-07,210,140,170,141,169,FALSE,153.05,181.26315307617187,1.9600156801254411,1.2390189170837402,Consumer Staples,1.3721006207121855,1.1843394516574444,1,1,5,1,1.4000000000000001,2.6,1,2
wfc,2020-03-31,56,26,34,27,33,FALSE,26.53,32.36000061035156,7.689408073324641,1.1338286399841309,Financials,2.1108179419525066,1.2197512480343595,1,4,2,6,2.8000000000000003,3,3,3
mu,2020-03-31,76,40,50,41,49,FALSE,43.77,59.186668395996094,NA,1.288616418838501,Information Technology,1.736349097555403,1.3522199770618253,1,1,12,1,2.1,5.400000000000001,1,4
